"address","rank","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","postalCode","street","reviewsCount","title","location/lat","location/lng","categoryName","price","totalScore"
"Q7X3+JJ8, Canal Park Piran Basti, Muridke, Sheikhupura, Punjab, Pakistan","7",,,,,,,"Q7X3+JJ8","33","Allah Hu Bakery","31.7990377","74.2540721","Bakery",,"3.5"
"R726+PR3, Mohalla Sharif Park, Muridke, Sheikhupura, Punjab, Pakistan","8",,,,,,,"R726+PR3","13","Ali Sweets And Bakers","31.8018161","74.2620878","Bakery",,"3.9"
"H79P+GV7, Outfall Rd, St Nagar, Lahore, Punjab 54000, Pakistan","10",,,,,,"54000","H79P+GV7, Outfall Rd","37","Paradise Bakers","31.5687916","74.2871583","Bakery",,"4.5"
"34 Nabha road, Old Anarkali Rd, Dhobi Mandi Lahore, Punjab 54000, Pakistan","11",,,,,,"54000","34 Nabha road, Old Anarkali Rd","122","Al Majeed Bakers","31.5652345","74.3097238","Bakery",,"4.5"
"J839+95P, Abu Bakar Rd, Badami Bagh, Lahore, Punjab, Pakistan","12",,,,,,,"J839+95P, Abu Bakar Rd","377","Gourmet Foods","31.6034642","74.3179396","Bakery",,"4.1"
"R753+RC2, Main GT Rd, Mohalla Sheikhan Muridke, Sheikhupura, Punjab 39000, Pakistan","13",,,,,,"39000","R753+RC2, Main GT Rd","9","Mujahid sweets and bakers","31.8035222","74.2547118","Bakery",,"3.7"
"Purana, Old Narowal Rd, Peoples Colony, Muridke, Sheikhupura, Punjab, Pakistan","14",,,,,,,"Purana, Old Narowal Rd","8","Super A One Bakers","31.8110781","74.2709963","Bakery",,"5"
"Sher Shah Rd, New Shad Bagh, Lahore, Punjab 54000, Pakistan","15",,,,,,"54000","Sher Shah Rd","655","Cakes & Bakes","31.5976006","74.3419778","Bakery",,"4.3"
"Street 2, Faisal Park Barkat town Stop Shahdara, Lahore, 54950, Pakistan","16",,,,,,"54950","Street 2, Faisal Park Barkat town Stop Shahdara","107","Cake Marque Cakes And Cupcakes. Online Cake Order in Lahore.","31.6414667","74.2825552","Cupcake shop",,"5"
"122 GT Rd, opp. Telephone Exchange, Baghbanpura, Lahore, Punjab 54000, Pakistan","17",,,,,,"54000","122 GT Rd, opp. Telephone Exchange","359","Fazal Sweets & Bakers","31.5796523","74.370526","Bakery","$$","4.3"
"H8C6+4J3, Anarkali Bazaar Lahore, Punjab 54000, Pakistan","18",,,,,,"54000","H8C6+4J3","180","S Mohkam-Ud-Din and Sons Bakers & Wedding Cakes","31.5702656","74.3115617","Bakery",,"4.5"
"HFJ8+3G2, Lahore Medical Housing Society, Lahore, Punjab, Pakistan","19",,,,,,,"HFJ8+3G2","35","Butt Sweets & Bakers","31.5801327","74.4662614","Bakery","$$","4"
"Chota Mufti Baqar Walled City of Lahore, Lahore, Punjab 54000, Pakistan","20",,,,,,,,"84","Kashmir Bakers & Khatai Shop (Mochi Gate)","31.5819607","74.3228206","Bakery","$$","4.3"
"Lahore wala adda, Halla Chowk, Multan Rd, Pattoki, Kasur, Punjab, Pakistan","2",,,,,,,"Lahore wala adda, Halla Chowk, Multan Rd","316","Paradise Sweets & Bakers پیراڈائیز سویٹس اینڈ بیکرز","31.0246793","73.8473788","Bakery",,"4.1"
"By Pass, Bara Ghar, Nankana Sahib, Punjab, Pakistan","3",,,,,,,"By Pass","1","Ravi Sweet & Bakers Bara Ghar","31.2201732","73.6324577","Bakery",,"5"
"Jaranwala Road Sayedwala Nankan Sahab, Syed Wala, Nankana Sahib, Punjab, Pakistan","4",,,,,,,"Jaranwala Road Sayedwala Nankan Sahab","329","Lahore Sweets & Bakers","31.1437932","73.4952069","Bakery",,"4"
"95CP+G62, Sector C Commercial Area Sector C Bahria Town, Lahore, Punjab 53720, Pakistan","10",,,,,,"53720","95CP+G62","837","Bundu Khan Sweets & Bakers - Bahria Town","31.3712595","74.1855055","Bakery","$$","4.3"
"Plaza no 01 G/F, jinnah Block, Rafi Block Bahria Town, Lahore, Punjab, Pakistan","17",,,,,,,"Plaza no 01 G/F, jinnah Block","38","Ramzan Mart & Bakers","31.3657107","74.1927503","Bakery",,"4.5"
"29, Commercial Area, Shams Ave, Block B Canal Gardens, Lahore, Punjab, Pakistan","19",,,,,,,"29, Commercial Area, Shams Ave","98","Malva Bakers and Sweets","31.393571","74.1751888","Bakery",,"3.9"
"4FC3+PGP, Shehbaz Rd, Kasur, Punjab, Tariq Colony, Kasur, Punjab, Pakistan","1",,,,,,,"4FC3+PGP, Shehbaz Rd, Kasur, Punjab","80","Lahore Bakers & Sweets","31.1218268","74.4538354","Bakery","$$","4"
"DR. BASHIR WALI STREET OUTSIDE, near DERA SHAMLAAT, Kot Murad Khan Kasur, 55050, Pakistan","2",,,,,,"55050","DR. BASHIR WALI STREET OUTSIDE, near DERA SHAMLAAT","50","Nawab Bakers","31.1131121","74.4415711","Bakery",,"4.1"
"Main Pero Waala Road, Kasur, Punjab 55361, Pakistan","3",,,,,,"55361","Main Pero Waala Road","45","Al Khalil Bakers And Sweets","31.1326607","74.463821","Bakery",,"4.1"
"4FC4+R4X, Shahbaz Khan Rd, Tariq Colony Munir Shaheed Colony, Kasur, Punjab, Pakistan","4",,,,,,,"4FC4+R4X, Shahbaz Khan Rd","9","Bundu Khan","31.1221109","74.4553845","Bakery","$$","4"
"out side Ellite College, Main Shahbaz Khan Rd, Kasur, Punjab, Pakistan","5",,,,,,,"out side Ellite College, Main Shahbaz Khan Rd","2","Top Cake Club","31.1225258","74.4623501","Bakery",,"3"
"Shahbaz Khan Rd, Tariq Colony Munir Shaheed Colony, Kasur, Punjab, Pakistan","6",,,,,,,"Shahbaz Khan Rd","496","Cakes & Bakes","31.1219367","74.4537963","Bakery","$$","4.3"
"4F93+V8V, Nasim Hayat Rd, Baldia Chowk, Kot Bahadur Khan, Noor Masjid Rd, Tariq Colony, Kasur, Punjab 55050, Pakistan","7",,,,,,"55050","4F93+V8V, Nasim Hayat Rd, Baldia Chowk, Kot Bahadur Khan, Noor Masjid Rd","272","Al-Khalil Bakers","31.1197437","74.4532919","Bakery",,"4"
"89GJ+X5P, Block A Central Park Housing Scheme, Lahore, Punjab, Pakistan","11",,,,,,,"89GJ+X5P","180","Ameer & Son's Bakery","31.3274625","74.3804531","Bakery",,"4"
"87HJ+W9C, Jia Bagga, Lahore, Punjab, Pakistan","13",,,,,,,"87HJ+W9C","27","The Angel Bakery's","31.3298081","74.2809025","Bakery",,"4.6"
"Block m2a, Lake City, Lahore, Pakistan","14",,,,,,,"Block m2a","91","Iqwee's Bakery","31.3667364","74.249908","Bakery",,"4.1"
"99H6+RPH, Main road, Faisal Town Rd, Kahna Nau, Lahore, Punjab, Pakistan","16",,,,,,,"99H6+RPH, Main road, Faisal Town Rd","4","Emmar Mart and Bakers","31.3795534","74.361864","Bakery",,"4.5"
"Deen da toll, Madhodas, Mandi Faizabad, 00000, Pakistan","21",,,,,,"00000","Deen da toll","0","Baking valley house","31.3909078","73.954441","Bakery",,
"83A, Block B1 Ghalib Market Gulberg III, Lahore, Punjab 54000, Pakistan","1",,,,,,"54000","83A","40","Makes Bakery","31.5131754","74.3534304","Bakery",,"4.9"
"Service Rd, Rehmanpura, Sheikhupura, Punjab, Pakistan","3",,,,,,,"Service Rd","215","Alam Sweets & Bakers","31.7071751","74.0075222","Bakery","$$","4.2"
,"4",,,,,,,,"1","Baking Memories","31.4829403","74.3343893","Bakery",,"5"
"P245+Q3X, Service Rd, Rehmanpura, Sheikhupura, Punjab, Pakistan","5",,,,,,,"P245+Q3X, Service Rd","492","Gourmet Foods","31.7069775","74.0077415","Bakery",,"3.9"
