"categoryName","location/lat","location/lng","totalScore","address","postalCode","title","reviewsCount","reviewsDistribution","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","street","price"
"Medical Center","31.568539","74.2926973","5","Sant Nagar St Nagar, Lahore, Punjab 54000, Pakistan",,"Punjab Medical Hall & General Store","1",,"1","0","0","0","0",,
"Medical Center","31.5811429","74.2971961","4","Shop # 58 street #11 Ameer road, Haji Banka Shaheed Rd, Bilal Ganj Lahore, Pakistan",,"Mukhtiar Munir clinic","1",,"0","1","0","0","0","Shop # 58 street #11 Ameer road, Haji Banka Shaheed Rd",
"Hospital","31.577646","74.296546","5","park, Malik park, Malik, Bilal Ganj, Lahore, Pakistan",,"Ali welfare hospital lahore","3",,"3","0","0","0","0","park, Malik park, Malik",
"Hospital","31.5778859","74.3100113","4.3","H8H6+522, Mohalla Sathan Walled City of Lahore, Lahore, Punjab 54000, Pakistan","54000","Malik Jalal Din Hospital","12",,"8","2","1","0","1","H8H6+522",
"Hospital","31.566268","74.2862779","3.7","H78P+GGG, Ansari Rd, Sanda Islampura, Lahore, Punjab 54000, Pakistan","54000","Govt maternity hospital chohan road","3",,"2","0","1","0","0","H78P+GGG, Ansari Rd",
"Medical Center","31.5887683","74.3016196","5","Block#3, plot#16, Ravi Rd, Karim Park Lahore, Punjab, Pakistan",,"Hussain medical Center","2",,"2","0","0","0","0","Block#3, plot#16, Ravi Rd",
"Hospital","31.5965919","74.3069569","5","176 rehman road, Nabi Park Rd, Ravi Park, Lahore, Punjab, Pakistan",,"Amina Trust Hospital","2",,"2","0","0","0","0","176 rehman road, Nabi Park Rd",
"Hospital","31.5696948","74.3023513","5","H892+VWH, Dev Samaj Road, St Nagar, Lahore, Punjab 54000, Pakistan","54000","Lawyer Hospital","1",,"1","0","0","0","0","H892+VWH, Dev Samaj Road",
"Hospital","31.5693131","74.3182152","3.8","H899+P7G, Mayo Hospital Rd, Anarkali Bazaar Lahore, Punjab 54000, Pakistan","54000","Mayo Hospital Outdoor Building Bus Stop","4",,"2","1","1","0","0","H899+P7G, Mayo Hospital Rd",
"Medical Center","31.5695869","74.2993651","1.5","H79X+RPQ, Sant Nagar St Nagar, Lahore, Punjab 54000, Pakistan","54000","Mch Centre","2",,"0","0","1","0","1","H79X+RPQ",
"Hospital","31.599434","74.2266285","5","H6XG+QMC, Unnamed Road, Al Rehman Garden Phase 2, Lahore, Sheikhupura, Punjab, Pakistan",,"A.R Hospital","4",,"4","0","0","0","0","H6XG+QMC, Unnamed Road",
"Hospital","31.5961357","74.2340351","4","H6WM+FJ3, Main Rd, Al Rehman Garden Phase 2, Lahore, Sheikhupura, Punjab, Pakistan",,"Al rehman hospital rehman garden","8",,"6","0","2","0","0","H6WM+FJ3, Main Rd",
"Hospital","31.5614091","74.2941124","5","H76V+HJ9, Zahoor St, Sanda National Town, Lahore, Punjab 54000, Pakistan","54000","Fatima Medical Centre","1",,"1","0","0","0","0","H76V+HJ9, Zahoor St",
"Medical Center","31.5740155","74.3117326","5","H8F6+JM5, Anarkali Bazaar Lahore, Punjab 54000, Pakistan","54000","Maqssoda Family Health Center","1",,"1","0","0","0","0","H8F6+JM5",
"Hospital","31.5799457","74.3092724","5","H8H5+XPC, Qadimi Shehar, Lahore, 54030, Pakistan","54030","Jamil Surgical Hospital","4",,"4","0","0","0","0","H8H5+XPC, Qadimi Shehar",
"Hospital","31.5785066","74.3211257","4.6","H8HC+CF2, Qazi Khana St, Mohalla Bela Nawab Sahib Kucha Chagtah Walled City of Lahore, Lahore, Punjab 54000, Pakistan","54000","Al-e-Imran Hospital","22",,"18","2","1","1","0","H8HC+CF2, Qazi Khana St",
