"reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","categoryName","location/lat","location/lng","totalScore","street","price","address","postalCode","title","reviewsCount"
,,,,,"School","30.9368188","74.1411901","3.5","W4PR+PFG",,"W4PR+PFG, Burj Ram Sigh, Kasur, Punjab, Pakistan",,"Governement Girls Primary School Burj Ran Sigh","4"
,,,,,"School","31.72906","73.3449991","4.7","P8HV+JXH",,"P8HV+JXH, Bhulair, Nankana Sahib, Punjab, Pakistan",,"AL HAMMED GARRISON SCHOOL SYSTEM BHULLAIR 119","7"
,,,,,"School","30.971797","74.180619","5","X5CJ+WFC",,"X5CJ+WFC, Rajwal Kuhna, Kasur, Punjab, Pakistan",,"Umair Public School Rajowal Kohna","1"
,,,,,"School","31.713151","73.3706668","5","P97C+777",,"P97C+777, Sangla Hill, Faisalabad, Punjab, Pakistan",,"Little Angel's Public School","1"
,,,,,"School","30.9097346","74.1371267","5","W45P+VVR, Depalpur Rd",,"W45P+VVR, Depalpur Rd, Kot Sardar Saleem Talwandi, Kasur, Punjab, Pakistan",,"Allama Iqbal Public High School","2"
,,,,,"School","31.7187939","73.365792","5","P998+G87",,"P998+G87, Sangla Hill, Nankana Sahib, Punjab, Pakistan",,"Rayed School","3"
,,,,,"Primary school","30.9803685","74.1160965",,"X4J8+4CX",,"X4J8+4CX, Chaharkey, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","0"
,,,,,"Primary school","30.9638046","74.1050993",,"X474+G2H",,"X474+G2H, Dobli, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","0"
,,,,,"Private educational institution","30.907937","74.1360767","5","W45P+5CG Kot Nawab Din",,"W45P+5CG Kot Nawab Din, Talwandi, Kasur, Punjab 55020, Pakistan","55020","AL-NOOR MODEL HIGH SCHOOL TALWANDI","2"
,,,,,"Primary school","30.9568798","74.0949701",,"X34V+QX5",,"X34V+QX5, Muftpura, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","0"
,,,,,"Public educational institution","30.8430017","74.1976479","4.2","R5VX+632، Bhago Ke Arayan, P.O. Usmanwala",,"R5VX+632، Bhago Ke Arayan, P.O. Usmanwala, Bhagoke Kasur, Kasur, Punjab, Pakistan",,"Ejaz Public School","5"
,,,,,"School","30.8027964","74.2275184","5","R63H+426",,"R63H+426, Hastiwala, Kasur, Punjab, Pakistan",,"Islamia School","1"
,,,,,"Primary school","30.8251044","74.1500043","5","R5G2+22R",,"R5G2+22R, Bhudhaike, Kasur, Punjab, Pakistan",,"Govt Girls Community Model School","1"
,,,,,"Primary school","30.8442781","74.1964107","5","R5VW+PH7",,"R5VW+PH7, Bhagoke, Kasur, Punjab, Pakistan",,"Govt Model Primary School","1"
,,,,,"Primary school","30.8025381","74.1863501","5","R53P+2G9",,"R53P+2G9, Tangrian, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","1"
,,,,,"Primary school","30.8475508","74.2358213","5","R6XP+28G",,"R6XP+28G, Garewala, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","1"
